Brand,Produk,Jenis_Produk_Final,Tipe_Bahan_Aktif_Final,Masalah Kulit,Untuk Kulit,ingredient_name,function1,function2,warning1,warning2,Level_Utama,Label_Level,Skor_Rekomendasi,Catatan_Rekomendasi
Sensatia Botanicals,Daily Sunscreen SPF 50 PA+++,Sunscreen,Bakuchiol,Iritasi,Sensitif,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,2,Tingkat 2 — Jerawat sedang,-1,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Scarlett,Salicylic Acid Daily Gentle Cleanser,Cleanser,Salicylic Acid,Iritasi,Kombinasi,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Exfoliating Toner,Toner,Salicylic Acid,Kusam,Kombinasi,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
The Ordinary,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Iritasi,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,1,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
The Ordinary,Green Tea Balancing Toner,Toner,Tea Tree,Jerawat,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Wardah,Luminous Whitening Night Cream,Night Cream,Ceramide,Kusam,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
COSRX,Miraculous Retinol Ampoule,Serum,Retinol,Kusam,Kombinasi,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Scarlett,Green Tea Balancing Toner,Toner,Tea Tree,Pori besar,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Wardah,Green Tea Balancing Toner,Toner,Vitamin C,Jerawat,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Bakuchiol Night Cream,Night Cream,Bakuchiol,Kusam,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Dear Me Beauty,Niacinamide 10% + Zinc 1%,Sunscreen,Niacinamide,Jerawat,Sensitif,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Acne Treatment Serum,Serum,Salicylic Acid,Pori besar,Normal,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Bekas jerawat,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,5,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Penuaan,Sensitif,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Scarlett,Green Tea Balancing Toner,Toner,Retinol,Kusam,Sensitif,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
The Ordinary,Hydrating Aloe Vera Gel,Gel Moisturizer,Ceramide,Kusam,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Somethinc,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Pori besar,Kombinasi,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Emina,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Penuaan,Normal,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Avoskin,Miraculous Retinol Ampoule,Serum,Retinol,Bekas jerawat,Berminyak,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
The Ordinary,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Penuaan,Kering,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Wardah,Brightening Facial Wash,Cleanser,Tea Tree,Flek hitam,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Sensatia Botanicals,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Flek hitam,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
The Ordinary,Hydra Boost Essence,Essence,Tea Tree,Kusam,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Wardah,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Penuaan,Kombinasi,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Somethinc,Miraculous Retinol Ampoule,Serum,Retinol,Flek hitam,Kombinasi,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Scarlett,Advanced Snail 96 Mucin Essence,Essence,Vitamin C,Jerawat,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Somethinc,Vitamin C Serum,Serum,Vitamin C,Pori besar,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Somethinc,Exfoliating Toner,Toner,Tea Tree,Dehidrasi,Sensitif,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Somethinc,Vitamin C Serum,Serum,Vitamin C,Kusam,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Sensatia Botanicals,Hydrating Aloe Vera Gel,Gel Moisturizer,Vitamin C,Bekas jerawat,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Penuaan,Kombinasi,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
COSRX,Vitamin C Serum,Serum,Vitamin C,Jerawat,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Hydrating Aloe Vera Gel,Gel Moisturizer,Tea Tree,Penuaan,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Dear Me Beauty,Luminous Whitening Night Cream,Night Cream,Salicylic Acid,Pori besar,Berminyak,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Bekas jerawat,Berminyak,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,5,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Sensatia Botanicals,Miraculous Retinol Ampoule,Serum,Retinol,Flek hitam,Sensitif,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Emina,Daily Sunscreen SPF 50 PA+++,Sunscreen,Ceramide,Iritasi,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,1,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Somethinc,Advanced Snail 96 Mucin Essence,Essence,Retinol,Kusam,Kering,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Wardah,Exfoliating Toner,Toner,Vitamin C,Iritasi,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,2,Tingkat 2 — Jerawat sedang,-1,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Scarlett,Hydrating Aloe Vera Gel,Gel Moisturizer,Ceramide,Pori besar,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Scarlett,Tea Tree Spot Gel,Spot Treatment,Tea Tree,Iritasi,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Miraculous Retinol Ampoule,Serum,Retinol,Kusam,Kombinasi,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Skintific,Green Tea Balancing Toner,Toner,Salicylic Acid,Jerawat,Sensitif,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
COSRX,Vitamin C Serum,Serum,Vitamin C,Flek hitam,Sensitif,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Scarlett,Acne Treatment Serum,Serum,Salicylic Acid,Jerawat,Sensitif,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Skintific,Bakuchiol Night Cream,Night Cream,Bakuchiol,Flek hitam,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
COSRX,Niacinamide 10% + Zinc 1%,Essence,Niacinamide,Iritasi,Normal,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Skintific,Advanced Snail 96 Mucin Essence,Essence,Tea Tree,Flek hitam,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Dear Me Beauty,Tea Tree Spot Gel,Spot Treatment,Tea Tree,Dehidrasi,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Cica Soothing Cream,Serum,Bakuchiol,Iritasi,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,2,Tingkat 2 — Jerawat sedang,-1,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Scarlett,Luminous Whitening Night Cream,Night Cream,Retinol,Flek hitam,Kering,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Wardah,Miraculous Retinol Ampoule,Serum,Retinol,Kusam,Kombinasi,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Scarlett,Brightening Facial Wash,Cleanser,Retinol,Kusam,Kombinasi,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Avoskin,Miraculous Retinol Ampoule,Serum,Retinol,Flek hitam,Berminyak,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Wardah,Hydra Boost Essence,Essence,Niacinamide,Flek hitam,Sensitif,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
COSRX,Green Tea Balancing Toner,Toner,Salicylic Acid,Iritasi,Berminyak,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
The Ordinary,Miraculous Retinol Ampoule,Serum,Retinol,Dehidrasi,Normal,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Dear Me Beauty,Niacinamide 10% + Zinc 1%,Moisturizer,Niacinamide,Kusam,Normal,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Iritasi,Kering,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,1,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Skintific,Salicylic Acid Daily Gentle Cleanser,Cleanser,Salicylic Acid,Kusam,Berminyak,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
COSRX,Exfoliating Toner,Toner,Niacinamide,Pori besar,Kombinasi,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
The Ordinary,Salicylic Acid Daily Gentle Cleanser,Cleanser,Salicylic Acid,Bekas jerawat,Normal,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Emina,Exfoliating Toner,Toner,Niacinamide,Flek hitam,Kombinasi,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Skintific,Hydrating Aloe Vera Gel,Gel Moisturizer,Vitamin C,Kusam,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Somethinc,Retinol Night Serum,Serum,Retinol,Penuaan,Sensitif,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Emina,Niacinamide 10% + Zinc 1%,Serum,Niacinamide,Jerawat,Sensitif,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
COSRX,Acne Treatment Serum,Serum,Bakuchiol,Pori besar,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
COSRX,Tea Tree Spot Gel,Spot Treatment,Tea Tree,Dehidrasi,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Hydrating Aloe Vera Gel,Gel Moisturizer,Ceramide,Iritasi,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,1,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Wardah,Salicylic Acid Daily Gentle Cleanser,Cleanser,Salicylic Acid,Iritasi,Normal,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Bekas jerawat,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,5,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Emina,Vitamin C Serum,Serum,Vitamin C,Jerawat,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Daily Sunscreen SPF 50 PA+++,Sunscreen,Salicylic Acid,Iritasi,Kering,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Emina,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Dehidrasi,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Dear Me Beauty,Niacinamide 10% + Zinc 1%,Essence,Niacinamide,Kusam,Kombinasi,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Emina,Hydra Boost Essence,Essence,Ceramide,Flek hitam,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
COSRX,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Dehidrasi,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Dear Me Beauty,Exfoliating Toner,Toner,Ceramide,Dehidrasi,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Dear Me Beauty,Cica Soothing Cream,Cream,Retinol,Penuaan,Kering,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
COSRX,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Iritasi,Berminyak,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,1,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Sensatia Botanicals,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Jerawat,Kering,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,5,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Wardah,Glow Boost Serum,Serum,Salicylic Acid,Penuaan,Normal,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
